data,n1,n2,n3,n4,n5,n6,montepremi_eur,num_vincite,regione
2025-05-22,2,19,23,46,49,72,35415535,1,Lombardia
2025-03-20,36,40,49,54,66,83,88232802,1,Lazio
2024-10-15,1,23,44,45,47,60,89221270,1,Trentino
2024-05-10,6,20,40,55,71,80,101511953,1,Campania
2023-11-16,9,10,19,40,52,56,85102812,1,Veneto
2023-06-10,8,30,33,40,64,78,42590154,1,Abruzzo
2023-03-25,4,15,26,27,72,82,73808593,1,Online
2023-02-16,1,38,47,52,56,66,371133425,1,Italia
2021-05-22,1,7,37,43,63,81,156294151,1,Marche
2020-07-07,16,24,29,53,73,88,59472355,1,Sardegna
2020-01-28,16,21,33,50,57,89,67218272,1,Liguria
2019-09-17,9,18,26,43,60,79,66369585,1,Emilia-Romagna
2019-08-13,7,32,41,59,75,76,209160442,1,Lombardia
2018-06-23,4,17,29,55,67,70,51316030,1,Italia
2018-04-17,12,23,39,54,72,73,130195242,1,Sicilia
2017-08-01,1,8,28,54,82,90,77735412,1,Veneto
2017-02-25,11,17,40,69,84,85,93720843,1,Veneto
2016-10-27,3,12,23,71,76,83,163500000,1,Calabria
2015-07-16,22,27,29,49,69,87,21856879,1,Sicilia
2015-03-21,4,7,9,19,55,58,9577624,1,Sardegna
2015-02-03,12,29,43,56,60,75,4858953,1,Veneto
2015-01-10,2,13,22,37,48,90,4327432,1,Calabria
2014-12-30,5,24,51,76,77,79,18044970,1,Campania
2014-11-22,22,25,55,58,82,85,40335381,1,Emilia-Romagna
2014-05-24,3,22,38,70,77,81,20971765,1,Sardegna
2014-02-18,15,36,49,62,75,82,11952610,1,Toscana
2014-01-23,3,6,12,13,19,67,26722847,1,Puglia
2013-10-15,22,36,60,64,71,80,18339932,1,Emilia-Romagna
2013-07-27,17,19,40,43,72,84,13912039,1,Emilia-Romagna
2013-06-29,17,22,54,69,82,88,40706447,1,Italia
2013-03-16,19,41,43,48,73,81,53273155,1,Friuli
2012-08-30,17,20,22,40,52,62,12321539,1,Abruzzo
2012-08-02,2,8,55,66,73,83,18840052,1,Lazio
2012-05-24,10,29,32,43,56,90,25800152,1,Lazio
2012-05-19,1,23,27,33,37,85,94836378,1,Sicilia
2011-09-22,4,6,27,37,45,58,65038202,1,Umbria
2011-04-28,38,42,45,69,86,90,47432499,1,Calabria
2011-01-07,14,25,44,54,78,89,13570629,1,Piemonte
2010-12-27,4,39,62,67,69,78,17973924,2,Campania
2010-10-30,4,26,40,54,55,67,177729043,1,Italia
2010-02-09,20,22,24,40,51,80,69511157,2,Emilia-Romagna
2009-08-22,10,11,27,45,79,88,147807299,1,Toscana
2009-01-31,1,3,8,38,83,88,1589437,5,Piemonte
2008-12-02,8,9,17,33,80,86,45084494,1,Calabria
2008-10-23,7,20,21,74,75,81,100756197,1,Sicilia
2008-04-26,56,64,72,81,83,86,40595859,1,Piemonte
2008-02-05,22,28,75,78,83,87,9453429,1,Campania
2008-01-17,4,15,21,35,59,73,33588491,1,Campania
2007-11-13,1,2,33,62,68,79,5015469,1,Calabria
2007-11-03,11,31,44,64,83,89,36119505,1,Emilia-Romagna
2007-08-25,4,23,25,30,34,57,34393725,1,Lazio
2007-06-14,12,42,44,46,52,86,6894488,1,Puglia
2007-05-31,7,21,36,38,77,79,4021532,1,Campania
2007-05-22,1,44,67,77,88,90,1709467,1,Sicilia
2007-05-19,7,8,13,17,38,43,71439611,1,Emilia-Romagna
2007-01-20,18,47,55,64,74,89,43692245,1,Toscana
2006-11-02,2,4,5,9,22,75,24115679,1,Lazio
2006-09-19,4,6,8,14,21,28,61042310,1,Emilia-Romagna
2006-06-01,18,33,51,66,87,90,34435203,1,Lazio
2006-04-04,13,25,45,70,78,88,34912620,1,Campania
2006-02-07,11,18,27,37,65,72,36598231,1,Lombardia
2005-12-17,20,23,42,70,80,90,62524371,1,Piemonte
2005-09-20,37,40,70,71,75,80,41563490,1,Campania
2005-06-25,4,8,38,60,82,89,6088194,1,Campania
2005-06-08,6,8,28,29,32,73,12347190,1,Veneto
2005-05-04,1,29,49,53,56,74,71767566,1,Lombardia
2004-10-27,10,14,17,56,65,84,37987704,1,Toscana
2004-07-07,14,23,29,44,48,74,2216430,1,Friuli
2004-06-30,10,22,34,43,62,68,5504317,1,Piemonte
2004-06-12,38,44,46,55,67,85,27574453,1,Sardegna
2004-03-24,24,50,58,69,87,88,45740866,1,Puglia
2003-11-22,3,27,54,65,81,83,4954549,1,Lombardia
2003-11-08,7,30,43,52,57,82,12545913,1,Campania
2003-10-04,22,62,68,73,75,87,20756235,1,Lombardia
2003-08-13,9,11,39,44,49,86,65985106,1,Lombardia
2003-03-08,8,27,34,42,83,88,33892460,1,Puglia
2002-12-12,3,8,21,33,46,86,38601808,1,Toscana
2002-09-14,20,23,30,44,78,88,14705318,2,Emilia-Romagna
2002-04-27,21,37,41,45,60,71,2606532,1,Toscana
2002-04-20,19,42,45,51,62,88,1411243,1,Veneto
2002-04-17,24,27,35,43,64,88,40860371,1,Puglia
2002-01-05,50,52,54,76,77,86,30313122,1,Emilia-Romagna
